City,State,Region,Income
Kanchipuram,Tamil Nadu,South India,"2,863.00"
Kanha,Madhya Pradesh,Central India,"1,416.00"
Kanpur,Uttar Pradesh,East India,832.00
Kanyakumari,Tamil Nadu,South India,"2,863.00"
Kargil,Jammu & Kashmir,North India,"2,603.33"
Karjat,Maharashtra,West India,"2,606.00"
Karnal,Haryana,North India,"3,181.00"
Karur,Tamil Nadu,South India,"2,863.00"
Karwar,Karnataka,South India,"3,191.00"
Kasargod,Kerala,South India,"2,767.00"
Kasauli,Himachal Pradesh,North India,"2,474.00"
Kashipur,Uttaranchal,North India,"2,603.33"
Kashid,Maharashtra,West India,"2,606.00"
Katra,Jammu & Kashmir,North India,"2,603.33"
Kausani,Uttarakhand,North India,"2,466.00"
Kaza,Himachal Pradesh,North India,"2,474.00"
Kaziranga,Assam,East India,"1,172.00"
Kedarnath,Uttaranchal,North India,"2,603.33"
Khajjiar,Himachal Pradesh,North India,"2,474.00"
Khajuraho,Madhya Pradesh,Central India,"1,416.00"
Khandala,Maharashtra,West India,"2,606.00"
Khimsar,Rajasthan,West India,"1,565.00"
Kochin,Kerala,South India,"2,767.00"
Kodaikanal,Tamil Nadu,South India,"2,863.00"
Kolhapur,Maharashtra,West India,"2,606.00"
Kolkata,West Bengal,East India,"1,637.00"
Kollam,Kerala,South India,"2,767.00"
Kota,Rajasthan,West India,"1,565.00"
Kotagiri,Tamil Nadu,South India,"2,863.00"
Kottayam,Kerala,South India,"2,767.00"
Kovalam,Kerala,South India,"2,767.00"
Kufri,Himachal Pradesh,North India,"2,474.00"
Kumbalgarh,Rajasthan,West India,"1,565.00"
Kullu,Himachal Pradesh,North India,"2,474.00"
Kumarakom,Kerala,South India,"2,767.00"
Kumbakonam,Tamil Nadu,South India,"2,863.00"
Kumily,Kerala,South India,"2,767.00"
Kurseong,West Bengal,East India,"1,637.00"
Kushinagar,Uttar Pradesh,North India,832.00
Leh,Jammu & Kashmir,North India,"2,603.33"
Lakshadweep,Union Territory Of Lakshadweep,South India,"2,801.50"
Lonavala,Maharashtra,West India,"2,606.00"
Lothal,Gujarat,West India,"2,872.00"
Lucknow,Uttar Pradesh,North India,832.00
Ludhiana,Punjab,North India,"2,023.00"
Madurai,Tamil Nadu,South India,"2,863.00"
Mahabaleshwar,Maharashtra,West India,"2,606.00"
Mahabalipuram,Tamil Nadu,South India,"2,863.00"
Malappuram,Kerala,South India,"2,767.00"
Malpe,Karnataka,South India,"3,191.00"
Malshej Ghat,Maharashtra,West India,"2,606.00"
Malvan,Maharashtra,West India,"2,606.00"
Manali,Himachal Pradesh,North India,"2,474.00"
Mandavi,Gujarat,West India,"2,872.00"
Mandawa,Rajasthan,West India,"1,565.00"
Manesar,Haryana,North India,"3,181.00"
Mararri,Kerala,South India,"2,767.00"
Mandormoni,West Bengal,East India,"1,637.00"
Mangalore,Karnataka,South India,"3,191.00"
Manmad,Maharashtra,Western Region,"2,606.00"
Marchula,Uttaranchal,North India,"2,603.33"
Matheran,Maharashtra,West India,"2,606.00"
Mathura,Uttar Pradesh,North India,832.00
Mcleodganj,Himachal Pradesh,North India,"2,474.00"
Mohali,Punjab,North India,"2,023.00"
Mount Abu,Rajasthan,West India,"1,565.00"
Moradabad,Uttar Pradesh,North India,832.00
Morbi,Gujarat,West India,"2,872.00"
Mukteshwar,Uttaranchal,North India,"2,603.33"
Mumbai,Maharashtra,West India,"2,606.00"
Greater Mumbai,Maharashtra,West India,"2,606.00"
Mundra,Maharashtra,West India,"2,606.00"
Munnar,Kerala,South India,"2,767.00"
Murud Janjira,Maharashtra,West India,"2,606.00"
Mussoorie,Uttaranchal,North India,"2,603.33"
Mysore,Karnataka,South India,"3,191.00"
Nadukani,Kerala,South India,"2,767.00"
Nagapattinam,Tamil Nadu,South India,"2,863.00"
Nagarhole,Karnataka,South India,"3,191.00"
Nagaur Fort,Rajasthan,West India,"1,565.00"
Nagothane,Maharashtra,West India,"2,606.00"
Nagpur,Maharashtra,West India,"2,606.00"
Nahan,Himachal Pradesh,North India,"2,474.00"
Nainital,Uttar Pradesh,North India,832.00
Naldhera,Himachal Pradesh,North India,"2,474.00"
Nanded,Maharashtra,West India,"2,606.00"
Napne,Maharashtra,West India,"2,606.00"
Nasik,Maharashtra,West India,"2,606.00"
Navi Mumbai,Maharashtra,West India,"2,606.00"
Neral,Maharashtra,West India,"2,606.00"
New Delhi,Delhi,North India,"4,644.00"
Delhi,Delhi,North India,"4,644.00"
Nilgiri,Tamil Nadu,South India,"2,863.00"
Noida,Uttar Pradesh,North India,832.00
Ooty,Tamil Nadu,South India,"2,863.00"
Orchha,Madhya Pradesh,Central India,"1,416.00"
Osian,Rajasthan,West India,"1,565.00"
Pachmarhi,Madhya Pradesh,Central India,"1,416.00"
Palampur,Himachal Pradesh,North India,"2,474.00"
Palanpur,Gujarat,West India,"2,872.00"
Pali,Rajasthan,West India,"1,565.00"
Pahalgam,Jammu & Kashmir,North India,"2,603.33"
Palitana,Gujarat,West India,"2,872.00"
Pallakad,Kerala,South India,"2,767.00"
Panchgani,Maharashtra,West India,"2,606.00"
